0,GKA,AYGA
1,MAG,AYMD
2,HGU,AYMH
3,LAE,AYNZ
4,POM,AYPY
5,WWK,AYWK
6,UAK,BGBW
7,GOH,BGGH
8,SFJ,BGSF
9,THU,BGTL
10,AEY,BIAR
11,EGS,BIEG
12,HFN,BIHN
13,HZK,BIHU
14,IFJ,BIIS
15,KEF,BIKF
16,PFJ,BIPA
17,RKV,BIRK
18,SIJ,BISI
19,VEY,BIVM
20,YAM,CYAM
21,\N,CYAV
22,\N,CYAW
23,YAY,CYAY
24,YAZ,CYAZ
25,YBB,CYBB
26,YBC,CYBC
27,YBG,CYBG
28,YBK,CYBK
29,YBL,CYBL
30,YBR,CYBR
31,YCB,CYCB
32,YCD,CYCD
33,YCG,CYCG
34,YCH,CYCH
35,YCL,CYCL
36,YCO,CYCO
37,YCT,CYCT
38,YCW,CYCW
39,YCY,CYCY
40,YZS,CYZS
41,YDA,CYDA
42,YDB,CYDB
43,\N,CYDC
44,YDF,CYDF
45,YDL,CYDL
46,YDN,CYDN
47,YDQ,CYDQ
48,YEG,CYEG
49,YEK,CYEK
50,YEN,CYEN
51,YET,CYET
52,YEU,CYEU
53,YEV,CYEV
54,YFB,CYFB
55,YFC,CYFC
56,YFE,CYFE
57,YFO,CYFO
58,YFR,CYFR
59,YFS,CYFS
60,YGK,CYGK
61,YGL,CYGL
62,YGP,CYGP
63,YGQ,CYGQ
64,YGR,CYGR
65,YHB,CYHB
66,YHD,CYHD
67,YHI,CYHI
68,YHK,CYHK
69,YHM,CYHM
70,YHU,CYHU
71,YHY,CYHY
72,YHZ,CYHZ
73,YIB,CYIB
74,YIO,CYIO
75,YJN,CYJN
76,YJT,CYJT
77,YKA,CYKA
78,YKF,CYKF
79,YKL,CYKL
80,YKY,CYKY
81,YKZ,CYKZ
82,YLD,CYLD
83,YLJ,CYLJ
84,YLL,CYLL
85,YLT,CYLT
86,YLW,CYLW
87,YMA,CYMA
88,YMJ,CYMJ
89,YMM,CYMM
90,YMO,CYMO
91,YMW,CYMW
92,YMX,CYMX
93,YNA,CYNA
94,YND,CYND
95,YNM,CYNM
96,YOC,CYOC
97,YOD,CYOD
98,YOJ,CYOJ
99,YOW,CYOW
100,YPA,CYPA
101,YPE,CYPE
102,YPG,CYPG
103,\N,CYPK
104,YPL,CYPL
105,YPN,CYPN
106,YPQ,CYPQ
107,YPR,CYPR
108,YPY,CYPY
109,YQA,CYQA
110,YQB,CYQB
111,YQF,CYQF
112,YQG,CYQG
113,YQH,CYQH
114,YQK,CYQK
115,YQL,CYQL
116,YQM,CYQM
117,YQQ,CYQQ
118,YQR,CYQR
119,YQT,CYQT
120,YQU,CYQU
121,YQV,CYQV
122,YQW,CYQW
123,YQX,CYQX
124,YQY,CYQY
125,YQZ,CYQZ
126,YRB,CYRB
127,YRI,CYRI
128,YRJ,CYRJ
129,YRM,CYRM
130,YRT,CYRT
131,YSB,CYSB
132,YSC,CYSC
133,YSJ,CYSJ
134,YSM,CYSM
135,YSR,CYSR
136,YSU,CYSU
137,YSY,CYSY
138,YTE,CYTE
139,YTH,CYTH
140,YTR,CYTR
141,YTS,CYTS
142,YTZ,CYTZ
143,YUB,CYUB
144,YUL,CYUL
145,YUT,CYUT
146,YUX,CYUX
147,YUY,CYUY
148,YVC,CYVC
149,YVG,CYVG
150,YVM,CYVM
151,YVO,CYVO
152,YVP,CYVP
153,YVQ,CYVQ
154,YVR,CYVR
155,YVT,CYVT
156,YVV,CYVV
157,YWA,CYWA
